1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1091,1092,1093,1094,1095,1096
Ferrari,Red Bull,Ferrari,Red Bull,Ferrari,Ferrari,Ferrari,Ferrari,Red Bull,Ferrari,Red Bull,Ferrari,Mercedes,Red Bull,Red Bull,Ferrari,Ferrari,Red Bull,Ferrari,Red Bull,Haas,Red Bull
Red Bull,Ferrari,Red Bull,Ferrari,Ferrari,Red Bull,Ferrari,Red Bull,Alpine,Red Bull,Ferrari,Red Bull,Ferrari,Ferrari,Ferrari,Red Bull,Red Bull,Ferrari,Ferrari,Mercedes,Red Bull,Red Bull
Ferrari,Ferrari,Red Bull,McLaren,Red Bull,Ferrari,Red Bull,Red Bull,Ferrari,Ferrari,Ferrari,Red Bull,Ferrari,Red Bull,Ferrari,Ferrari,Mercedes,Ferrari,Red Bull,Mercedes,Mercedes,Ferrari
Red Bull,Red Bull,McLaren,Haas,Red Bull,Mercedes,Red Bull,Ferrari,Mercedes,Red Bull,Mercedes,Mercedes,McLaren,Ferrari,Mercedes,Red Bull,Ferrari,Red Bull,Red Bull,Red Bull,McLaren,Ferrari
Mercedes,Alpine,Mercedes,Alpine,Alfa Romeo,Red Bull,McLaren,Mercedes,Haas,Mercedes,Alpine,McLaren,Alpine,Alpine,Red Bull,Mercedes,Alpine,Alpine,Mercedes,Ferrari,Ferrari,Mercedes
Alfa Romeo,Mercedes,Mercedes,McLaren,Mercedes,Mercedes,Mercedes,Alpha Tauri,Haas,McLaren,Haas,Mercedes,Alpine,Alpine,Mercedes,Mercedes,McLaren,Mercedes,Mercedes,Alfa Romeo,Alpine,Mercedes
Haas,Alpine,McLaren,Red Bull,Alpha Tauri,Alfa Romeo,Alpine,Mercedes,Alpine,Alpine,Haas,Alpine,Mercedes,Mercedes,McLaren,McLaren,Alpha Tauri,Alpine,Aston Martin,Ferrari,Alpine,McLaren
Alpine,Alfa Romeo,Alpine,Alfa Romeo,McLaren,Haas,Mercedes,Alpha Tauri,Mercedes,Mercedes,Alpine,Alpha Tauri,Alfa Romeo,Mercedes,Haas,McLaren,Red Bull,Mercedes,McLaren,McLaren,Mercedes,Alpine
Mercedes,Alpha Tauri,Ferrari,Aston Martin,Alpha Tauri,McLaren,Aston Martin,Aston Martin,McLaren,Alfa Romeo,Mercedes,Ferrari,McLaren,Williams,Alpha Tauri,Alpha Tauri,Haas,Aston Martin,Alpine,Alpine,Red Bull,Aston Martin
Alpha Tauri,Haas,Alpine,Ferrari,Aston Martin,Haas,Alpine,Alpine,Alfa Romeo,Williams,Alpha Tauri,Haas,Red Bull,McLaren,Aston Martin,Alpine,Alpha Tauri,McLaren,Alfa Romeo,Alpine,Ferrari,McLaren
Alpine,McLaren,Alpha Tauri,Mercedes,Alpine,McLaren,Alpha Tauri,McLaren,Alfa Romeo,Alpha Tauri,Williams,McLaren,Red Bull,McLaren,Alpha Tauri,Alpine,Mercedes,McLaren,Williams,McLaren,Williams,Alpine
Haas,McLaren,Alfa Romeo,Haas,Mercedes,Alpine,Alfa Romeo,McLaren,Williams,Alfa Romeo,Alfa Romeo,Alpine,Alfa Romeo,Alpha Tauri,Alpine,Alfa Romeo,Aston Martin,Alfa Romeo,Aston Martin,Alfa Romeo,Alpha Tauri,Alpha Tauri
McLaren,Alfa Romeo,Alpha Tauri,Mercedes,Aston Martin,Alpha Tauri,Haas,Alpine,Red Bull,Alpha Tauri,Red Bull,Alfa Romeo,Haas,Alfa Romeo,Alpine,Williams,Haas,Alpha Tauri,Alpha Tauri,Alpha Tauri,Aston Martin,Haas
Williams,Haas,Alfa Romeo,Alfa Romeo,McLaren,Alpha Tauri,McLaren,Alfa Romeo,McLaren,McLaren,Alpha Tauri,Aston Martin,Aston Martin,Aston Martin,Alfa Romeo,Alfa Romeo,Aston Martin,Alfa Romeo,Alfa Romeo,Alpha Tauri,McLaren,Aston Martin
Alfa Romeo,Aston Martin,Haas,Aston Martin,Haas,Alfa Romeo,Haas,Alfa Romeo,Ferrari,Alpine,McLaren,Williams,Haas,Haas,Williams,Alpha Tauri,Alfa Romeo,Haas,Alpha Tauri,Haas,Aston Martin,Alfa Romeo
Alpha Tauri,Mercedes,Williams,Alpha Tauri,Haas,Aston Martin,Williams,Haas,Alpha Tauri,Williams,McLaren,Alpha Tauri,Alpha Tauri,Aston Martin,Alfa Romeo,Williams,Alfa Romeo,Williams,Haas,Haas,Williams,Haas
Aston Martin,Williams,Haas,Alpha Tauri,Alfa Romeo,Alpine,Alpha Tauri,Williams,Aston Martin,Haas,Aston Martin,Aston Martin,Williams,Williams,McLaren,Aston Martin,McLaren,Alpha Tauri,McLaren,Aston Martin,Alfa Romeo,Alpha Tauri
McLaren,Aston Martin,Aston Martin,Williams,Williams,Aston Martin,Aston Martin,Williams,Aston Martin,Aston Martin,Alfa Romeo,Alfa Romeo,Aston Martin,Haas,Haas,Aston Martin,Alpine,Haas,Alpine,Aston Martin,Alfa Romeo,Alfa Romeo
Aston Martin,Williams,Williams,Alpine,Williams,Williams,Williams,Aston Martin,Williams,Haas,Williams,Haas,Alpha Tauri,Alpha Tauri,Aston Martin,Haas,Williams,Aston Martin,Haas,Williams,Alpha Tauri,Williams
Williams,Alpha Tauri,Aston Martin,Williams,Alpine,Williams,Alfa Romeo,Haas,Alpha Tauri,Aston Martin,Aston Martin,Williams,Williams,Alfa Romeo,Williams,Haas,Williams,Williams,Williams,Williams,Haas,Williams
