1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1091,1092,1093,1094,1095,1096
Ferrari,Red Bull,Ferrari,Red Bull,Red Bull,Red Bull,Red Bull,Red Bull,Red Bull,Ferrari,Ferrari,Red Bull,Red Bull,Red Bull,Red Bull,Red Bull,Red Bull,Red Bull,Red Bull,Red Bull,Mercedes,Red Bull
Ferrari,Ferrari,Red Bull,Red Bull,Ferrari,Red Bull,Ferrari,Red Bull,Ferrari,Red Bull,Red Bull,Mercedes,Mercedes,Red Bull,Mercedes,Ferrari,Ferrari,Red Bull,Mercedes,Mercedes,Mercedes,Ferrari
Mercedes,Ferrari,Mercedes,McLaren,Ferrari,Mercedes,Red Bull,Mercedes,Mercedes,Mercedes,Mercedes,Mercedes,Mercedes,Ferrari,Ferrari,Mercedes,Ferrari,Ferrari,Ferrari,Red Bull,Ferrari,Red Bull
Mercedes,Red Bull,Mercedes,Mercedes,Red Bull,Ferrari,Ferrari,Mercedes,Mercedes,Ferrari,Mercedes,Red Bull,Ferrari,Mercedes,Mercedes,Ferrari,McLaren,Alpine,Red Bull,Mercedes,Ferrari,Ferrari
Haas,Mercedes,McLaren,Alfa Romeo,Mercedes,Mercedes,Mercedes,Alpha Tauri,Ferrari,Alpine,Alpine,Ferrari,Red Bull,Alpine,Red Bull,Mercedes,McLaren,Mercedes,Mercedes,Ferrari,Alpine,Mercedes
Alfa Romeo,Alpine,McLaren,Ferrari,Mercedes,Alfa Romeo,McLaren,Aston Martin,Alpine,McLaren,Haas,Alpine,Ferrari,Ferrari,Alpine,Red Bull,Aston Martin,Aston Martin,McLaren,Ferrari,Red Bull,McLaren
Alpine,McLaren,Alpine,Alpha Tauri,Alfa Romeo,Alpine,Alpine,Alpine,Alfa Romeo,Red Bull,McLaren,McLaren,McLaren,Alpine,McLaren,McLaren,Red Bull,Alpine,Alpine,McLaren,Red Bull,Alpine
Alpha Tauri,Alpha Tauri,Alfa Romeo,Aston Martin,Alpine,McLaren,Mercedes,McLaren,Alfa Romeo,Haas,Haas,Alpine,Alpine,Aston Martin,Ferrari,Alpha Tauri,Aston Martin,Mercedes,Aston Martin,Alpine,Alpine,Aston Martin
Alpine,Haas,Alpha Tauri,Haas,Williams,Alpine,Alfa Romeo,McLaren,Alpine,Aston Martin,McLaren,McLaren,Alpine,Alpha Tauri,Alpine,Williams,Mercedes,Williams,Haas,McLaren,Alfa Romeo,McLaren
Alfa Romeo,Mercedes,Williams,Aston Martin,Aston Martin,Alpha Tauri,Aston Martin,Alpine,Aston Martin,Haas,Alpine,Aston Martin,Aston Martin,Williams,Aston Martin,Alfa Romeo,Alpha Tauri,McLaren,Alpha Tauri,Alfa Romeo,Aston Martin,Aston Martin
Haas,Alfa Romeo,Alfa Romeo,Williams,Alpine,Aston Martin,Alpha Tauri,Alfa Romeo,McLaren,Aston Martin,Alfa Romeo,Aston Martin,Aston Martin,Aston Martin,Alpha Tauri,Alpine,Alfa Romeo,McLaren,Alpine,Alpha Tauri,Aston Martin,Alpha Tauri
Aston Martin,Aston Martin,Aston Martin,Alpha Tauri,Alpha Tauri,McLaren,Alpine,Williams,Aston Martin,Williams,Williams,Alpha Tauri,Alpha Tauri,McLaren,Williams,Haas,Haas,Aston Martin,Alfa Romeo,Williams,Alfa Romeo,Alfa Romeo
Williams,Aston Martin,Haas,Mercedes,McLaren,Alpha Tauri,McLaren,Alpha Tauri,Williams,McLaren,Aston Martin,Williams,Alfa Romeo,Alpha Tauri,Haas,Alfa Romeo,Haas,Alpha Tauri,Williams,Alfa Romeo,Haas,Williams
McLaren,Williams,Haas,Alpine,Williams,Haas,Aston Martin,Haas,Alpha Tauri,Alpha Tauri,Alfa Romeo,Alfa Romeo,Haas,Alfa Romeo,Aston Martin,Alpha Tauri,Mercedes,Haas,Alpha Tauri,Aston Martin,Alpha Tauri,Alpha Tauri
McLaren,Alfa Romeo,Alpha Tauri,Alfa Romeo,Haas,Aston Martin,Williams,Williams,McLaren,Alpine,Alpha Tauri,Haas,McLaren,McLaren,Haas,Williams,Alpha Tauri,Alfa Romeo,Haas,Aston Martin,Williams,Alfa Romeo
Williams,Alpine,Williams,Williams,Haas,Williams,Alfa Romeo,Aston Martin,Williams,Alpha Tauri,Alpha Tauri,Alfa Romeo,Haas,Haas,Alfa Romeo,Haas,Alpine,Alfa Romeo,McLaren,Haas,Williams,Haas
Aston Martin,McLaren,Alpine,Haas,Aston Martin,Haas,Alpha Tauri,Haas,Haas,Alfa Romeo,Aston Martin,Williams,Williams,Haas,McLaren,McLaren,Williams,Haas,Williams,Haas,Alpha Tauri,Haas
Red Bull,Williams,Red Bull,McLaren,Alpha Tauri,Williams,Williams,Alfa Romeo,Alpha Tauri,Mercedes,Ferrari,Haas,Williams,Williams,Williams,Aston Martin,Alpine,Alpha Tauri,Aston Martin,Williams,McLaren,Mercedes
Red Bull,Alpha Tauri,Aston Martin,Alpine,McLaren,Alfa Romeo,Haas,Ferrari,Haas,Alfa Romeo,Williams,Ferrari,Alpha Tauri,Alfa Romeo,Alfa Romeo,Alpine,Williams,Ferrari,Alfa Romeo,Alpine,Haas,Williams
Alpha Tauri,Haas,Ferrari,Ferrari,Alfa Romeo,Ferrari,Haas,Ferrari,Red Bull,Williams,Red Bull,Alpha Tauri,Alfa Romeo,Mercedes,Alpha Tauri,Aston Martin,Alfa Romeo,Williams,Ferrari,Alpha Tauri,McLaren,Alpine
